# Frequency in Hz, Level in dB
5.000000000000000000e+01,-1.022740386422079126e+02
5.285000000000000142e+01,-9.870074614463524654e+01
5.586999999999999744e+01,-9.573684538460111071e+01
5.904999999999999716e+01,-9.480567983220281292e+01
6.242000000000000171e+01,-9.194909320529461638e+01
6.598000000000000398e+01,-9.121467173575634035e+01
6.975000000000000000e+01,-9.077947361057596254e+01
7.373000000000000398e+01,-9.171544064425044951e+01
7.793000000000000682e+01,-9.115534570670241976e+01
8.237999999999999545e+01,-9.107496232811919867e+01
8.707999999999999829e+01,-9.124764837943538964e+01
9.204000000000000625e+01,-9.260796970247608328e+01
9.729000000000000625e+01,-9.227574280265000084e+01
1.028400000000000034e+02,-8.891967498086614796e+01
1.087099999999999937e+02,-8.695937032924939558e+01
1.149099999999999966e+02,-8.563076421675165761e+01
1.214699999999999989e+02,-8.558580865600444554e+01
1.284000000000000057e+02,-8.486177021678354038e+01
1.357199999999999989e+02,-8.587791940540785163e+01
1.434600000000000080e+02,-8.612888950101088881e+01
1.516500000000000057e+02,-8.736523957426247478e+01
1.603000000000000114e+02,-8.484699473347336607e+01
1.694399999999999977e+02,-8.495997016377384625e+01
1.791100000000000136e+02,-8.536919379852811574e+01
1.893199999999999932e+02,-8.279346323641082961e+01
2.001200000000000045e+02,-8.628680268484409055e+01
2.115399999999999920e+02,-8.568470785079081509e+01
2.236100000000000136e+02,-8.666150925069383959e+01
2.363600000000000136e+02,-8.640851064230791678e+01
2.498499999999999943e+02,-8.529980277791891297e+01
2.641000000000000227e+02,-8.677774745090330555e+01
2.791600000000000250e+02,-8.618518165692245248e+01
2.950899999999999750e+02,-8.560226700413129208e+01
3.119200000000000159e+02,-8.640600813290603810e+01
3.297099999999999795e+02,-8.687423376296321464e+01
3.485199999999999818e+02,-8.747861305997413695e+01
3.683999999999999773e+02,-8.657645103952755505e+01
3.894200000000000159e+02,-8.687227970310243563e+01
4.116299999999999955e+02,-8.531794436939864568e+01
4.351100000000000136e+02,-8.554518105090558322e+01
4.599300000000000068e+02,-8.542396234642875186e+01
4.861700000000000159e+02,-8.508694482303036466e+01
5.138999999999999773e+02,-8.579816498205124731e+01
5.432200000000000273e+02,-8.597415875945758046e+01
5.742100000000000364e+02,-8.531089633595583166e+01
6.069600000000000364e+02,-8.408207168171537660e+01
6.415900000000000318e+02,-8.406085550536911910e+01
6.781799999999999500e+02,-8.422865301591258458e+01
7.168700000000000045e+02,-8.444874717976553313e+01
7.577599999999999909e+02,-8.409842728137302004e+01
8.009900000000000091e+02,-8.421312694441078861e+01
8.466799999999999500e+02,-8.453205281216121136e+01
8.949800000000000182e+02,-8.369813342769910491e+01
9.460299999999999727e+02,-8.352511920024780068e+01
1.000000000000000000e+03,-8.242173772909448815e+01
1.057039999999999964e+03,-8.228270491936153519e+01
1.117339999999999918e+03,-8.276643261060007717e+01
1.181079999999999927e+03,-8.287365359838327095e+01
1.248450000000000045e+03,-8.194806111852328456e+01
1.319670000000000073e+03,-8.255797004611399359e+01
1.394950000000000045e+03,-8.217365541890099223e+01
1.474519999999999982e+03,-8.207431883553930163e+01
1.558640000000000100e+03,-8.269285179018800136e+01
1.647549999999999955e+03,-8.325015566130377920e+01
1.741529999999999973e+03,-8.365924763409947218e+01
1.840880000000000109e+03,-8.361220883045770336e+01
1.945890000000000100e+03,-8.321898912099354106e+01
2.056889999999999873e+03,-8.413695250379645074e+01
2.174219999999999800e+03,-8.505017288202056136e+01
2.298250000000000000e+03,-8.510985665169070558e+01
2.429349999999999909e+03,-8.493463238696567430e+01
2.567929999999999836e+03,-8.463209368347325778e+01
2.714420000000000073e+03,-8.456160185043108868e+01
2.869260000000000218e+03,-8.430413702584307600e+01
3.032929999999999836e+03,-8.414347397723119570e+01
3.205949999999999818e+03,-8.432470630195959416e+01
3.388829999999999927e+03,-8.278273290619804925e+01
3.582139999999999873e+03,-8.190210460780325263e+01
3.786480000000000018e+03,-8.086538473083022893e+01
4.002480000000000018e+03,-8.098650473491275648e+01
4.230789999999999964e+03,-8.066694317697783845e+01
4.472140000000000327e+03,-8.101773245477147611e+01
4.727250000000000000e+03,-8.085663750232316715e+01
4.996909999999999854e+03,-8.301965303156624998e+01
5.281949999999999818e+03,-8.269269904706359853e+01
5.583260000000000218e+03,-8.270068904412845257e+01
5.901750000000000000e+03,-8.432117840264108111e+01
6.238409999999999854e+03,-8.679352797530221153e+01
6.594270000000000437e+03,-8.580900728948894596e+01
6.970439999999999600e+03,-8.378172376026685697e+01
7.368060000000000400e+03,-7.994491906129937320e+01
7.788369999999999891e+03,-8.017874653881793279e+01
8.232649999999999636e+03,-8.266292617703160772e+01
8.702270000000000437e+03,-9.190853262634379917e+01
9.198690000000000509e+03,-8.830308326328479041e+01
9.723420000000000073e+03,-8.881604223759362071e+01
1.027809000000000015e+04,-9.227184247800985872e+01
1.086438999999999942e+04,-9.936604430353459350e+01
1.148413999999999942e+04,-1.008674663658010644e+02
1.213923999999999978e+04,-1.067264956153020705e+02
1.283171999999999935e+04,-1.065430741616017087e+02
1.356369000000000051e+04,-1.038507649207888761e+02
1.433742000000000007e+04,-1.040714060906444018e+02
1.515529000000000087e+04,-1.025007995242551715e+02
1.601980999999999949e+04,-9.983013386512182308e+01
1.693365000000000146e+04,-9.707649560034712977e+01
1.789961999999999898e+04,-1.045365322623075315e+02
1.892068000000000029e+04,-1.171030672520084011e+02
2.000000000000000000e+04,-1.179857486432223794e+02
